id;numero_compte;libelle_compte;solde_compte;sens_compte;cumul_mouv_debit;cumul_mouv_credit;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;44612;COM connecting Handmade;72474;Hawaii;91775;13630;2020-03-25;2020-03-24;38954;41323;69645;61603
2;785;Sausages Orchestrator Soap;29368;Convertible Marks;44674;45870;2020-03-25;2020-03-24;71384;57644;91788;56700
3;85024;Singapore Dollar;57083;Alabama Maryland Checking Account;23597;21689;2020-03-25;2020-03-25;84554;84664;29399;10935
4;22403;Persevering;30339;Moldova;94865;43611;2020-03-25;2020-03-24;72930;17372;54743;9242
5;9835;Soft;85024;infrastructures Ouguiya Timor-Leste;25701;99043;2020-03-24;2020-03-25;96028;92030;42084;19283
6;46816;Paradigm EXE Ridge;15259;Handcrafted;8975;69498;2020-03-24;2020-03-25;63695;23525;7889;12478
7;36111;tan;88191;Pants virtual;86217;53794;2020-03-25;2020-03-25;90351;46438;49722;93109
8;25724;Shoes Freeway quantify;7346;Brand;7941;74328;2020-03-25;2020-03-25;7791;99652;97697;93630
9;1953;Ameliorated Chief Nevada;39390;Credit Card Account;81766;92258;2020-03-24;2020-03-25;28872;54690;31607;53452
10;21862;Home Loan Account bifurcated;91121;Industrial;93457;29700;2020-03-25;2020-03-25;15213;13952;83402;28316
